doi,resolved_url,field,score,verdict_bucket,suggested_action,gold_value,parser_value,gold_on_page,parser_on_page,evidence,notes
10.1016/b978-1-4160-3370-7.00049-3,https://doi.org/10.1016/b978-1-4160-3370-7.00049-3,authors,f1_soft=0.000 matched=0/1g/1p,disjoint_names_gold_likely_wrong,fix_gold,Mashunin Yu. K.,Ludwik S. Szymanski,,,"{""overlap"": 0.0, ""gold_n"": 1, ""parser_n"": 1}",
10.1016/j.aej.2017.04.016,https://doi.org/10.1016/j.aej.2017.04.016,authors,f1_soft=0.000 matched=0/3g/1p,disjoint_names_gold_likely_wrong,fix_gold,Hossam Abdelgawad; Constantinos Antoniou; Baher Abdulhai,Mounir Mahmoud Moghazy Abdel-Aal,,,"{""overlap"": 0.0, ""gold_n"": 3, ""parser_n"": 1}",
10.1016/j.dam.2004.07.005,https://doi.org/10.1016/j.dam.2004.07.005,authors,f1_soft=0.000 matched=0/3g/3p,disjoint_names_gold_likely_wrong,fix_gold,Edith Elkind; Leslie Ann Goldberg; Paul W. Goldberg,Christian Glaßer; Steffen Reith; Heribert Vollmer,,,"{""overlap"": 0.0, ""gold_n"": 3, ""parser_n"": 3}",
10.1016/j.desal.2024.118090,https://doi.org/10.1016/j.desal.2024.118090,authors,f1_soft=0.000 matched=0/2g/2p,disjoint_names_gold_likely_wrong,fix_gold,Prathap Kumar Kore; Senthilmurugan Subbiah,Allan Soo; Ho Kyong Shon,,,"{""overlap"": 0.0, ""gold_n"": 2, ""parser_n"": 2}",
10.1016/j.jat.2015.02.005,https://doi.org/10.1016/j.jat.2015.02.005,authors,f1_soft=0.000 matched=0/1g/1p,disjoint_names_gold_likely_wrong,fix_gold,Ryszard Szwarc,Doron S. Lubinsky,,,"{""overlap"": 0.0, ""gold_n"": 1, ""parser_n"": 1}",
10.1016/j.jde.2019.06.001,https://doi.org/10.1016/j.jde.2019.06.001,authors,f1_soft=0.000 matched=0/3g/2p,disjoint_names_gold_likely_wrong,fix_gold,Chufen Wu; Yang Wang; Qian Zhao,Xing Liang; Tao Zhou,,,"{""overlap"": 0.0, ""gold_n"": 3, ""parser_n"": 2}",
10.1016/j.physletb.2016.03.083,https://doi.org/10.1016/j.physletb.2016.03.083,authors,f1_soft=0.000 matched=0/1g/2p,disjoint_names_gold_likely_wrong,fix_gold,A. Akhunzyanov,Roman N. Lee; Kirill T. Mingulov,,,"{""overlap"": 0.0, ""gold_n"": 1, ""parser_n"": 2}",
10.1016/j.rinam.2023.100416,https://doi.org/10.1016/j.rinam.2023.100416,authors,f1_soft=0.000 matched=0/1g/2p,disjoint_names_gold_likely_wrong,fix_gold,Mostafa M.A. Khater,Kanyuta Poochinapan; Ben Wongsaijai,,,"{""overlap"": 0.0, ""gold_n"": 1, ""parser_n"": 2}",
10.1016/j.sandf.2021.06.004,https://doi.org/10.1016/j.sandf.2021.06.004,authors,f1_soft=0.000 matched=0/5g/2p,disjoint_names_gold_likely_wrong,fix_gold,Chao-Sheng Tang; Qing Cheng; Cheng Zhu; Bin Shi; Zhong-Kui Ren,Yunlong Liu; Sai K. Vanapalli,,,"{""overlap"": 0.0, ""gold_n"": 5, ""parser_n"": 2}",
10.1016/s0002-9378(11)70001-1,https://doi.org/10.1016/s0002-9378(11)70001-1,authors,f1_soft=0.000 matched=0/1g/1p,disjoint_names_gold_likely_wrong,fix_gold,Author name not extractable from PDF-encoded page,John Seguin,,,"{""overlap"": 0.0, ""gold_n"": 1, ""parser_n"": 1}",
10.1016/0041-624x(70)90615-3,https://doi.org/10.1016/0041-624x(70)90615-3,authors,f1_soft=0.000 matched=0/0g/3p,gold_missing_parser_has,fix_gold,,H.V. Fairbanks; T.K. Hu; J.W. Leonard,,,"{""parser_n"": 3, ""any_on_page"": true, ""overlap"": 0.0}",
10.1016/j.jocn.2015.03.045,https://doi.org/10.1016/j.jocn.2015.03.045,authors,f1_soft=0.000 matched=0/0g/3p,gold_missing_parser_has,fix_gold,,E. Warner; B.S. Jassar; G. Samandouras,,,"{""parser_n"": 3, ""any_on_page"": true, ""overlap"": 0.0}",
10.1016/s0168-8278(25)01676-9,https://doi.org/10.1016/s0168-8278(25)01676-9,authors,f1_soft=0.000 matched=0/0g/6p,gold_missing_parser_has,fix_gold,,Arunkumar Krishnan; Diptasree Mukherjee; Aldanah Althwanay; Faisal Abaalkhail; Waleed K Al-Hamoudi; Saleh A Alqahtani,,,"{""parser_n"": 6, ""any_on_page"": true, ""overlap"": 0.0}",
10.1016/s0927-0256(97)82570-0,https://doi.org/10.1016/s0927-0256(97)82570-0,authors,f1_soft=0.000 matched=0/0g/2p,gold_missing_parser_has,fix_gold,,Didier de Fontaine; Hugues Dreyssé,,,"{""parser_n"": 2, ""any_on_page"": true, ""overlap"": 0.0}",
10.1016/s1359-6349(09)71627-1,https://doi.org/10.1016/s1359-6349(09)71627-1,authors,f1_soft=0.000 matched=0/0g/6p,gold_missing_parser_has,fix_gold,,Y. Kim; H. Wu; Y. Jeon; H. Go; S. Lee; E. Kwon,,,"{""parser_n"": 6, ""any_on_page"": true, ""overlap"": 0.0}",
10.1016/j.net.2023.05.017,https://doi.org/10.1016/j.net.2023.05.017,authors,f1_soft=0.000 matched=0/7g/4p,partial_overlap_gold_off_page,fix_gold,Yu Wu; Xin Chen; Min Xie; Haokun Mao; Yiwen Liu; Zhengping Wang; Chunlei Su,Jianwen Huo; Xulin Hu; Junling Wang; Li Hu,0,4,"{""overlap"": 0.25, ""parser_on_page"": 4, ""gold_on_page"": 0}",
10.1016/0013-4694(81)92419-6,https://doi.org/10.1016/0013-4694(81)92419-6,authors,f1_soft=0.000 matched=0/2g/0p,parser_miss,fix_parser,Y. Matsue; T. Okuma,,,,"{""gold_n"": 2, ""any_gold_on_page"": true}",
10.1016/0013-7480(68)90094-6,https://doi.org/10.1016/0013-7480(68)90094-6,authors,f1_soft=0.000 matched=0/2g/0p,parser_miss,fix_parser,J. Randall; R. A. Kenyon,,,,"{""gold_n"": 2, ""any_gold_on_page"": true}",
10.1016/0167-9236(87)90107-2,https://doi.org/10.1016/0167-9236(87)90107-2,authors,f1_soft=0.000 matched=0/1g/0p,parser_miss,fix_parser,Robert B. Allen,,,,"{""gold_n"": 1, ""any_gold_on_page"": true}",
10.1016/0304-3959(84)90204-5,https://doi.org/10.1016/0304-3959(84)90204-5,authors,f1_soft=0.000 matched=0/3g/0p,parser_miss,fix_parser,P. Kemppainen; A. Pertovaara; G. Johansson,,,,"{""gold_n"": 3, ""any_gold_on_page"": true}",
10.1016/0734-9750(96)82726-1,https://doi.org/10.1016/0734-9750(96)82726-1,authors,f1_soft=0.000 matched=0/2g/0p,parser_miss,fix_parser,Cormier Milton J; Prasher Dougla,,,,"{""gold_n"": 2, ""any_gold_on_page"": true}",
10.1016/0887-6177(90)90065-w,https://doi.org/10.1016/0887-6177(90)90065-w,authors,f1_soft=0.000 matched=0/2g/0p,parser_miss,fix_parser,"Eisenstein, H. H.; Selevan-Eisenstein, E. L.",,,,"{""gold_n"": 2, ""any_gold_on_page"": true}",
10.1016/j.cahpu.2014.02.006,https://doi.org/10.1016/j.cahpu.2014.02.006,authors,f1_soft=0.000 matched=0/1g/0p,parser_miss,fix_parser,Anne Lucas,,,,"{""gold_n"": 1, ""any_gold_on_page"": true}",
10.1016/j.cahpu.2020.10.009,https://doi.org/10.1016/j.cahpu.2020.10.009,authors,f1_soft=0.000 matched=0/4g/0p,parser_miss,fix_parser,Delphine Morin; Laure Girard; Géraldine Vallée; Kelly-Joyce Doisneau,,,,"{""gold_n"": 4, ""any_gold_on_page"": true}",
10.1016/j.ejon.2010.01.014,https://doi.org/10.1016/j.ejon.2010.01.014,authors,f1_soft=0.000 matched=0/3g/0p,parser_miss,fix_parser,Gitte Petersen; Desiree Rosenborg; Catherine Rechnitzer,,,,"{""gold_n"": 3, ""any_gold_on_page"": true}",
10.1016/j.ijscr.2021.106235,https://doi.org/10.1016/j.ijscr.2021.106235,authors,f1_soft=0.000 matched=0/7g/0p,parser_miss,fix_parser,Dg Marshitah Pg Baharuddin; Nang Kham Oo Leik; Firdaus Hayati; Mohd Nazri Mohd Daud; Edwin See; Siti Zubaidah Sharif; Nik Amin Sahid Nik Lah,,,,"{""gold_n"": 7, ""any_gold_on_page"": true}",
10.1016/j.jamcollsurg.2016.09.010,https://doi.org/10.1016/j.jamcollsurg.2016.09.010,authors,f1_soft=0.000 matched=0/13g/0p,parser_miss,fix_parser,"Peter A. Najjar, MD, MBA; Arin L. Madenci; Cheryl K. Zogg; Eric B. Schneider; Christian A. Dankers; Marc T. Pimentel; Amrita S. Chabria; Joel E. Goldberg; Gaurav Sharma; Gregory Piazza; Ronald Bleday; Dennis P. Orgill; Allen Kachalia",,,,"{""gold_n"": 13, ""any_gold_on_page"": true}",
10.1016/j.jcrs.2018.08.037,https://doi.org/10.1016/j.jcrs.2018.08.037,authors,f1_soft=0.000 matched=0/7g/0p,parser_miss,fix_parser,Avni A. Shah; Jeanie Ling; Niraj R. Nathan; Ashton J. Kalhorn; Qingxia Chen; Jeffrey A. Kammer; Leonard K. Seibold,,,,"{""gold_n"": 7, ""any_gold_on_page"": true}",
10.1016/j.juro.2016.02.2911,https://doi.org/10.1016/j.juro.2016.02.2911,authors,f1_soft=0.000 matched=0/5g/0p,parser_miss,fix_parser,Sarah Vij; Ganesh Kartha; Venkatesh Krishnamurthi; Howard B Goldman; Michelle Ponziano,,,,"{""gold_n"": 5, ""any_gold_on_page"": true}",
10.1016/j.juro.2017.02.1258,https://doi.org/10.1016/j.juro.2017.02.1258,authors,f1_soft=0.000 matched=0/3g/0p,parser_miss,fix_parser,Himanshu Aggarwal; Feras Alhalabi; Philippe Zimmern,,,,"{""gold_n"": 3, ""any_gold_on_page"": true}",
10.1016/j.pain.2012.11.015,https://doi.org/10.1016/j.pain.2012.11.015,authors,f1_soft=0.000 matched=0/13g/0p,parser_miss,fix_parser,Kristin L. Schreiber; Marc O. Martel; Helen Shnol; John R. Shaffer; Carol Greco; Nicole Viray; Lauren N. Taylor; Meghan McLaughlin; Adam Brufsky; Gretchen Ahrendt; Dana Bovbjerg; Robert R. Edwards; Inna Belfer,,,,"{""gold_n"": 13, ""any_gold_on_page"": true}",
10.1016/j.pain.2014.05.024,https://doi.org/10.1016/j.pain.2014.05.024,authors,f1_soft=0.000 matched=0/11g/0p,parser_miss,fix_parser,Joan E. Broderick; Francis J. Keefe; Patricia Bruckenthal; Doerte U. Junghaenel; Stefan Schneider; Joseph E. Schwartz; Alan T. Kaell; David S. Caldwell; Daphne McKee; Shelby Reed; Elaine Gould,,,,"{""gold_n"": 11, ""any_gold_on_page"": true}",
10.1016/s0022-5347(09)61345-8,https://doi.org/10.1016/s0022-5347(09)61345-8,authors,f1_soft=0.000 matched=0/9g/0p,parser_miss,fix_parser,Kenichiro Ishii; Tetsuya Imamura; Kazuhiro Iguchi; Shigeki Arase; Yuko Yoshio; Yasuhide Hori; Kiminobu Arima; Kazuyuki Hirano; Yoshiki Sugimura,,,,"{""gold_n"": 9, ""any_gold_on_page"": true}",
10.1016/s0022-5347(17)32801-x,https://doi.org/10.1016/s0022-5347(17)32801-x,authors,f1_soft=0.000 matched=0/1g/0p,parser_miss,fix_parser,Jay Y. Gillenwater,,,,"{""gold_n"": 1, ""any_gold_on_page"": true}",
10.1016/s0022-5347(17)67566-9,https://doi.org/10.1016/s0022-5347(17)67566-9,authors,f1_soft=0.000 matched=0/2g/0p,parser_miss,fix_parser,Henry R. Drinker; Vincent J. O'Conor,,,,"{""gold_n"": 2, ""any_gold_on_page"": true}",
10.1016/s0026-0576(96)92759-2,https://doi.org/10.1016/s0026-0576(96)92759-2,authors,f1_soft=0.000 matched=0/2g/0p,parser_miss,fix_parser,K. Kubota; A. Hiraki,,,,"{""gold_n"": 2, ""any_gold_on_page"": true}",
10.1016/s0094-0143(16)30077-5,https://doi.org/10.1016/s0094-0143(16)30077-5,authors,f1_soft=0.000 matched=0/7g/0p,parser_miss,fix_parser,"SAMIR S. TANEJA, MD; PHILIPPE E. SPIESS, MD, MS, FRCS(C), FACS; JONATHAN BEILAN, MD; MICHAEL BICKELL, DO; MATT BROGGI, MSc; RAFAEL CARRION, MD; JUANITA CROOK, MD, FRCPC",,,,"{""gold_n"": 7, ""any_gold_on_page"": true}",
10.1016/s0886-3350(03)00019-1,https://doi.org/10.1016/s0886-3350(03)00019-1,authors,f1_soft=0.000 matched=0/4g/0p,parser_miss,fix_parser,Jose Rodríguez-Prats; Ahmed Galal Ahmed; Mª-Jose Ayala; Jorge L. Alió,,,,"{""gold_n"": 4, ""any_gold_on_page"": true}",
